user_uuid,Total_number_of_workouts,Number_of_programs_taken,Intensity_per_workout,cluster
0001850e-af99-4fb7-ab0d-95ea79573abc,5,0.09523809523809523,0.0,0
00050d7a-e64f-4828-a093-2018e68ea496,4,0.07142857142857142,0.0,0
00058eae-79c1-40e4-952c-f6020bf5c253,25,0.4999999999999999,0.2,2
00063331-17d3-423f-86bb-8a2f63118fb7,21,0.33333333333333326,0.4,2
00068d91-aaf2-4553-a0c5-c959cfe88dd8,5,0.07142857142857142,0.06666666666666667,0
0006ab07-4ef3-4587-8f87-6a7db3cf8191,6,0.09523809523809523,0.06666666666666667,0
000919b1-aa49-442d-8b6a-2b37bd55a55e,7,0.14285714285714285,0.0,0
000ddf3e-6d66-452d-8e07-7a72a82e00ba,5,0.09523809523809523,0.0,0
000fb134-1ae0-43e7-af5c-ff63d6b3075a,24,0.4999999999999999,0.13333333333333333,2
0013f0c4-54a3-4d66-bce7-d00adaa5eb86,24,0.47619047619047616,0.2,2
001942fa-a792-4bee-90a2-ce75d52547ac,12,0.26190476190476186,0.0,0
001a1dd8-9942-4a3b-8792-9982f0fd1ef1,5,0.09523809523809523,0.0,0
001cfcbb-d857-4030-a7ab-9f257847c589,43,0.8571428571428571,0.4,2
001e0063-2a56-4f8b-bf61-6741e879e92b,5,0.09523809523809523,0.0,0
0022d2e9-ce2b-4b03-bed3-6c776d31d32c,24,0.33333333333333326,0.6,1
002df5be-2cd0-4112-839d-241e912dfaa7,7,0.14285714285714285,0.0,0
0030a8a2-8c6c-49b7-821b-64ad2296d5bb,6,0.11904761904761904,0.0,0
0034b882-dae8-4996-a2a6-3497a31c6cac,19,0.33333333333333326,0.26666666666666666,2
00355333-4db9-4639-9b9a-89e29aab808d,6,0.07142857142857142,0.13333333333333333,0
003759f4-7866-4a53-a0be-d8bb7c55f764,17,0.33333333333333326,0.13333333333333333,2
003d1fc4-76d1-4000-9525-888b793b4711,3,0.047619047619047616,0.0,0
0041d530-e7ec-44ac-a257-a8d50e793db9,30,0.6904761904761904,0.0,2
00446413-c0f6-4b5a-8828-ac43ef3028d9,49,0.7857142857142857,1.0,1
0044d946-781d-4836-81a8-dc6180b6ce71,20,0.3571428571428571,0.26666666666666666,2
00476be4-d09e-4b6b-af0e-d278938fb5d8,4,0.07142857142857142,0.0,0
0047e50b-6cb7-4750-aab4-0b1ff94036c8,5,0.09523809523809523,0.0,0
004c13e9-8aed-4836-8ffb-c45f0af18cac,35,0.738095238095238,0.2,2
00525bec-b2c1-45e4-b74a-a1862e63c622,20,0.4285714285714285,0.06666666666666667,2
0054dcd6-3978-4cef-85ce-a2a339fda088,15,0.30952380952380953,0.06666666666666667,0
00572432-f8c6-4835-903a-e316cf8e7b47,9,0.11904761904761904,0.2,0
00575456-c770-470e-9b73-b2814fab02c1,4,0.07142857142857142,0.0,0
0058a5b3-7dbe-4ddc-b96d-321a186839ad,36,0.6666666666666666,0.4666666666666667,1
00633d1b-341e-4869-8308-682837834854,7,0.11904761904761904,0.06666666666666667,0
0069561c-6057-4468-8e81-996d4f01508e,5,0.09523809523809523,0.0,0
006a146d-1938-4d1a-9d14-c9cb61dbb4c8,14,0.11904761904761904,0.5333333333333333,1
006bb34a-0a73-4851-8029-ecffeeebacc8,4,0.07142857142857142,0.0,0
006c81a4-fa5f-4135-bf5d-035c01c4f3aa,31,0.6904761904761904,0.06666666666666667,2
006e5563-8cdf-4033-ad16-ef88e3e5fd19,18,0.38095238095238093,0.06666666666666667,2
006f1efa-c700-4a10-aaac-fbbcc654484b,37,0.8095238095238094,0.13333333333333333,2
00722700-40ef-46b6-a612-9c6aa4e1026d,6,0.11904761904761904,0.0,0
007318b9-db64-4f7a-b9f9-a600f5c470f3,41,0.8095238095238094,0.4,2
0073a91d-ff3d-4166-aff0-f1271460b0dc,10,0.21428571428571427,0.0,0
00766230-f757-4da6-b184-84d9d1f8f912,22,0.30952380952380953,0.5333333333333333,1
007a499f-5463-48a7-978d-095d2ea150ec,15,0.2857142857142857,0.13333333333333333,0
007fedf1-d87d-4ddf-b110-1b662ec6f32b,10,0.19047619047619047,0.06666666666666667,0
00836722-a666-4ee2-b646-85cebbab692d,12,0.09523809523809523,0.4666666666666667,0
008398e5-6c21-4e2a-a1f2-071c819dc63f,5,0.09523809523809523,0.0,0
008a923b-31a6-45a4-bdcd-34b410636af6,9,0.19047619047619047,0.0,0
008f3225-c6ac-4d73-9d7d-fdfce286dda3,10,0.09523809523809523,0.3333333333333333,0
0091149c-1207-4b50-8441-913963f84c5a,47,0.7857142857142857,0.8666666666666667,1
009a96d8-77d8-47a7-822d-3abe2019b094,14,0.21428571428571427,0.26666666666666666,0
009d31d9-4d89-45e0-a3fa-5bdaca25334f,7,0.11904761904761904,0.06666666666666667,0
009ec06a-7811-415a-bf77-ad6071749937,6,0.11904761904761904,0.0,0
009f214f-9575-4bf4-9609-2c996658c128,9,0.19047619047619047,0.0,0
00a2299f-403c-455c-8e8a-28575cb5d9ed,12,0.16666666666666666,0.26666666666666666,0
00a3b491-1b96-4c04-99d6-fd1e673268e4,16,0.33333333333333326,0.06666666666666667,0
00a4057e-bd2b-447b-b367-523539e18079,28,0.5714285714285714,0.2,2
00a68357-52df-40df-a971-262d3d816e82,24,0.4999999999999999,0.13333333333333333,2
00ac0872-4e89-42d7-82ef-35400469a567,7,0.14285714285714285,0.0,0
00ae40d4-a0e1-47b4-8158-4036f0d1ad44,19,0.30952380952380953,0.3333333333333333,2
00af9ca0-de8c-4190-b207-9d2557df953f,15,0.19047619047619047,0.4,0
00b1ce8a-5ad5-4f73-b3c9-d7c05ccccba8,6,0.09523809523809523,0.06666666666666667,0
00b55e77-666a-4c06-b0d8-0acbad082627,5,0.07142857142857142,0.06666666666666667,0
00b76895-3621-485e-9e28-3d67cedf2422,54,0.9285714285714285,0.9333333333333333,1
00b80e81-1fc8-4eaa-be72-cf53c4cb7d69,20,0.4285714285714285,0.06666666666666667,2
00b886b5-9cca-47d3-9b1f-98f8a916bf49,7,0.14285714285714285,0.0,0
00bb3bf5-9e15-48ea-98c0-5ffafccfbd29,5,0.09523809523809523,0.0,0
00bb8b11-f88f-43d6-b94e-b9fe84658294,24,0.38095238095238093,0.4666666666666667,1
00bfc59a-9e93-432a-8d0d-fd444008ba5e,4,0.07142857142857142,0.0,0
00c1503c-b834-4796-a24e-34b86d53b8e1,13,0.26190476190476186,0.06666666666666667,0
00c24842-6967-4a4f-9856-b7b6041d8e61,30,0.5476190476190476,0.4,2
00c2584c-61a4-454d-be88-1f3c0f17e84f,15,0.09523809523809523,0.6666666666666666,1
00c263ba-01d1-4d94-8c94-48a0c56f01ac,6,0.11904761904761904,0.0,0
00c628cd-0ef4-4ab9-a4dc-a1a804ee90bf,5,0.09523809523809523,0.0,0
00ce4d88-1f19-47a0-b2f1-ef74dbeeaabf,24,0.45238095238095233,0.26666666666666666,2
00d87025-150f-410a-b21f-8125c41eaae5,6,0.11904761904761904,0.0,0
00da1233-65e8-4282-a76c-1c4b33289d29,13,0.23809523809523805,0.13333333333333333,0
00e20c2b-c1fd-4f7a-bde4-606e763c5751,8,0.16666666666666666,0.0,0
00e22a45-a640-44dc-8fa2-a5cb802c65c3,4,0.07142857142857142,0.0,0
00e9215b-c925-4b75-8bf3-36c3bc10bc1b,6,0.11904761904761904,0.0,0
00e979ea-13f8-45b6-95f0-2018c6138937,9,0.16666666666666666,0.06666666666666667,0
00f2ceec-3997-4868-8a67-cb674fb84a87,19,0.38095238095238093,0.13333333333333333,2
00f34bb5-fa75-4fa9-91eb-21d1f006b0f9,7,0.11904761904761904,0.06666666666666667,0
00f9929d-078d-42b8-9703-155b25c71159,9,0.16666666666666666,0.06666666666666667,0
00fdf771-e90b-499d-ba73-b03fb6f012fc,7,0.14285714285714285,0.0,0
00ff185c-3499-413b-bd68-ed9043284dc9,29,0.6666666666666666,0.0,2
010122e5-8088-403e-90b1-1d72753e6b9b,5,0.09523809523809523,0.0,0
01052144-8b06-4a38-bf53-eebbbffd190a,5,0.09523809523809523,0.0,0
01068c84-bac9-46b5-81a2-3be071e22c3e,12,0.23809523809523805,0.06666666666666667,0
010750f2-d19e-4065-9223-2a2dbb0ca88e,24,0.4999999999999999,0.13333333333333333,2
010a92d8-efde-4540-bcac-7bb43366e521,6,0.11904761904761904,0.0,0
010b40f4-e901-4a91-b741-31485c12a606,15,0.23809523809523805,0.26666666666666666,0
010bcbc9-f6d4-4547-8977-d84ab7e35b6b,10,0.19047619047619047,0.06666666666666667,0
01109230-efd7-4471-8a51-57e7d2b0a011,8,0.14285714285714285,0.06666666666666667,0
0112962a-5621-4df8-b278-d16d3c2da4ee,6,0.11904761904761904,0.0,0
011aee4d-8883-4fd5-8d86-4d73ee7a4b7d,9,0.16666666666666666,0.06666666666666667,0
011b979d-3ecb-4498-a92f-8c8b8691ef22,13,0.26190476190476186,0.06666666666666667,0
0120f166-10c4-499c-92f5-07f2b864561f,47,0.8333333333333333,0.7333333333333333,1
0123d394-e2ef-460f-a2c0-b162fd95eebe,4,0.07142857142857142,0.0,0
012ff186-800a-42c5-a14b-cb88b7f02fd0,12,0.23809523809523805,0.06666666666666667,0
01304030-9ead-4006-9d33-c59a7550f49b,7,0.14285714285714285,0.0,0
0131638e-51ad-40ab-9839-927f07f1ac1e,27,0.4999999999999999,0.3333333333333333,2
013277f9-f95a-400c-bf98-3d8182cf41fe,6,0.11904761904761904,0.0,0
013a6704-a55e-4f82-9aa6-f27acecdcc8f,48,0.9999999999999999,0.3333333333333333,2
013cf2f4-9963-4a2b-9c00-dd9887e540fc,31,0.6904761904761904,0.06666666666666667,2
015197e6-7b8a-4cc4-8bbf-a7055f85cbea,4,0.07142857142857142,0.0,0
01549e76-1a74-4093-95cb-2ce939dc4ef7,11,0.23809523809523805,0.0,0
016e46d7-0eaa-445d-985d-cc65fc8f3135,25,0.5714285714285714,0.0,2
01748269-cbe2-41b3-a225-1b583acad658,4,0.07142857142857142,0.0,0
01844fc6-50f4-4379-88b2-e1316e8de6c1,9,0.16666666666666666,0.06666666666666667,0
018da39e-16c9-44e6-a5e8-a58ec460f074,47,0.9523809523809523,0.4,2
018e9d22-6115-453c-987a-741187316645,27,0.619047619047619,0.0,2
0190c419-ff66-4746-8cb4-b8cdc6ebb167,11,0.14285714285714285,0.26666666666666666,0
0190e6dd-ae54-491c-a385-9a0c46ab947f,4,0.07142857142857142,0.0,0
0191a0d2-4ac5-4969-b80d-9db0a185c994,16,0.2857142857142857,0.2,0
0197b021-c79f-4f7e-8006-2b2f6b089920,9,0.19047619047619047,0.0,0
019b8d10-dd3f-4b92-a3fa-533705eb77a1,5,0.09523809523809523,0.0,0
019f6769-bea4-466a-b7b6-84763b4287ab,47,0.738095238095238,1.0,1
01ad2aaa-86d0-451b-9254-44e8015c676d,5,0.09523809523809523,0.0,0
01ad984c-9773-4877-9a36-d3ce24cc45e2,18,0.19047619047619047,0.6,1
01adb5c1-81f1-4c3e-9b50-711a62c201e7,4,0.07142857142857142,0.0,0
01af12a5-7d6f-4612-b6c4-b4481f70738c,4,0.07142857142857142,0.0,0
01af4d8f-6950-42fd-a559-96918b6efe4d,4,0.07142857142857142,0.0,0
01b02be9-1251-4b85-9227-4fec46a69420,7,0.11904761904761904,0.06666666666666667,0
01b03d70-beb9-452c-ad17-73af37a082be,29,0.5714285714285714,0.26666666666666666,2
01b1c80d-cd1d-41ff-81b6-2812d8bb827c,6,0.11904761904761904,0.0,0
01b36fe6-9d88-48ce-8440-ad1ad88f530f,14,0.2857142857142857,0.06666666666666667,0
01b4d37d-f6fd-49ab-9851-7bcbacbc4961,5,0.07142857142857142,0.06666666666666667,0
01b7483c-eb56-4327-88ab-d6d32096636c,4,0.07142857142857142,0.0,0
01b9e715-bf40-4289-8ce1-b193a118dc7d,7,0.14285714285714285,0.0,0
01c74adb-757e-4c10-be5c-c6c5487fb9b3,10,0.16666666666666666,0.13333333333333333,0
01cd6599-d585-4250-8460-c1dd9137ab7d,37,0.6666666666666666,0.5333333333333333,1
01ce9ab9-d259-4b22-adf2-f7041ee58766,27,0.3571428571428571,0.7333333333333333,1
01cfed67-db4d-41b3-b272-a6bbe0dff392,4,0.07142857142857142,0.0,0
01d284e5-6aff-406d-8a8d-79e4e4513bb7,14,0.2857142857142857,0.06666666666666667,0
01d2eb2a-af53-4f0a-b3b9-a5f55061eb7f,9,0.023809523809523808,0.4666666666666667,0
01d30a79-218d-4ae4-abff-3390f66eb640,9,0.19047619047619047,0.0,0
01d64bb1-2b03-459a-8311-d83f3d202319,35,0.738095238095238,0.2,2
01df0e5e-b5f4-444b-88d7-12ab33eccd14,5,0.09523809523809523,0.0,0
01e09f66-d149-462f-b81e-6a8885f09041,20,0.40476190476190477,0.13333333333333333,2
01e18cfa-6a1d-4ef8-b754-af321157ff39,25,0.5714285714285714,0.0,2
01e239c8-659c-45b0-bce3-7c10f3fedb66,6,0.09523809523809523,0.06666666666666667,0
01e3e032-0799-4b4d-9732-91b5a7cc6384,10,0.21428571428571427,0.0,0
01e681d7-f3ab-495d-bb74-e783460aa527,5,0.09523809523809523,0.0,0
01e6da15-7a29-41be-8cc1-4a1339bcdb36,8,0.16666666666666666,0.0,0
01e70fd1-ceac-40ff-b3e1-f686fdb3c508,6,0.11904761904761904,0.0,0
01ea3c4a-32b3-4811-86cc-fdc7dca3dfb5,20,0.40476190476190477,0.13333333333333333,2
01ed19e7-ec08-4f40-9f99-783093030e2e,9,0.11904761904761904,0.2,0
01ef9f42-b8d5-485a-8bd6-cf511bff1ff3,4,0.07142857142857142,0.0,0
01f563a5-f03f-48ad-8d7f-e3148c6524d1,19,0.40476190476190477,0.06666666666666667,2
01fad316-71ca-4c4d-b5bc-68eda3468325,11,0.21428571428571427,0.06666666666666667,0
02014532-ec91-49ed-97b4-52eb8304a742,32,0.7142857142857142,0.06666666666666667,2
0201dac1-1e48-4ad2-8da1-9a5df8471e77,23,0.47619047619047616,0.13333333333333333,2
02036c21-78d8-4633-b629-55c2a3531982,6,0.11904761904761904,0.0,0
02061643-fb6d-4d2b-adb3-5bbd224a0017,14,0.2857142857142857,0.06666666666666667,0
0209690d-0e53-4c8a-befa-065231975794,6,0.09523809523809523,0.06666666666666667,0
020ff53e-236a-4e86-a2a6-8b0c99c039ee,4,0.07142857142857142,0.0,0
0211327e-30c5-4e3d-b6f6-ac2b1a773e30,10,0.21428571428571427,0.0,0
0213c727-5781-4633-b8d3-03e6d3bc11e0,6,0.11904761904761904,0.0,0
0217caba-c1ae-465e-9ee3-afe3b9748e02,3,0.047619047619047616,0.0,0
0218f669-e037-48fa-b543-16fba593c18c,12,0.09523809523809523,0.4666666666666667,0
021a033c-c39d-4b45-8772-935a68699141,21,0.33333333333333326,0.4,2
021a9ca4-9660-4a69-b897-5a2cb41e0939,4,0.07142857142857142,0.0,0
021bba32-f207-4312-ad14-7d786f9bc4e5,4,0.07142857142857142,0.0,0
021dc13f-79aa-4f6c-8f75-001ba6996e41,8,0.16666666666666666,0.0,0
021e33f9-0e83-4cdf-affa-b2d28628ab48,31,0.45238095238095233,0.7333333333333333,1
021e4736-8e54-4698-b4f1-6b0760a6f113,4,0.047619047619047616,0.06666666666666667,0
021eb2ac-6d61-4c38-8859-f83ec338e825,6,0.09523809523809523,0.06666666666666667,0
021ffa63-0aac-42a7-9b24-518873af555b,11,0.21428571428571427,0.06666666666666667,0
0226ac8f-f197-4b4f-8a9c-696e902956c5,29,0.3571428571428571,0.8666666666666667,1
02272816-30b2-477a-83a5-1b65796b95d1,15,0.26190476190476186,0.2,0
02286b7d-1aae-4dc0-b9e4-da6ab0fe63e9,12,0.26190476190476186,0.0,0
0228da77-acd3-4309-a665-ed9d34551f7e,12,0.26190476190476186,0.0,0
02295c19-fb05-4378-a51d-29c6263307da,5,0.09523809523809523,0.0,0
0229c6b9-c8b8-4f9c-abd3-df4aa439003c,10,0.21428571428571427,0.0,0
022a7627-352d-441d-abc3-08ef655a4e8c,6,0.11904761904761904,0.0,0
0230eaae-6517-4408-95e4-0824750612df,6,0.07142857142857142,0.13333333333333333,0
02328229-0a41-42de-a8b4-8ed43c4d10de,6,0.11904761904761904,0.0,0
0232fe0c-985b-4ca5-b64a-f58df351a672,7,0.14285714285714285,0.0,0
0237e788-25eb-42eb-91fa-7398788bf718,10,0.21428571428571427,0.0,0
02381b64-1b5b-46cb-90c5-4db5b85ed852,35,0.5476190476190476,0.7333333333333333,1
0239aeda-47b9-4584-b835-5787e53bda60,6,0.11904761904761904,0.0,0
0239e650-ec72-4fcf-b67a-ca5f68f90b4c,4,0.07142857142857142,0.0,0
023ddc41-aa8d-4d9d-a23a-f44adbdb005a,6,0.11904761904761904,0.0,0
02405e32-e5d8-46bc-b023-f4532bc58968,20,0.4285714285714285,0.06666666666666667,2
0249142b-184b-452c-a1bf-80d074fe508a,7,0.14285714285714285,0.0,0
024ad01b-cef2-4278-ac8d-da7b3f911453,5,0.07142857142857142,0.06666666666666667,0
024cab42-42f4-4bd5-bab9-7bac770efbba,34,0.5476190476190476,0.6666666666666666,1
02521866-b033-447d-9462-4a3fea85f9f1,7,0.14285714285714285,0.0,0
0252dd0c-a5a4-4036-9533-7be14cd39d75,4,0.07142857142857142,0.0,0
0254dbfc-433c-4ec6-a43a-b7e650cc28f3,5,0.09523809523809523,0.0,0
0258a700-e391-424f-96e1-2f85e83a8f23,27,0.5952380952380952,0.06666666666666667,2
0259448d-923c-4b06-a967-0572bfdc1da9,45,0.8809523809523808,0.4666666666666667,1
025b6edc-2351-42f3-98ac-9ff594a7555a,8,0.14285714285714285,0.06666666666666667,0
025c814a-478b-4df3-ab9d-bf4ce65a0487,25,0.4285714285714285,0.4,2
02609b80-419e-42dc-b7bd-edbfd0ec91f1,21,0.4285714285714285,0.13333333333333333,2
02632aa4-ee7c-4456-8206-2478722b23c1,7,0.14285714285714285,0.0,0
0266a71d-b352-48b4-ae79-c76a17decd08,10,0.19047619047619047,0.06666666666666667,0
02670d29-340a-4f30-8d72-5b64b8e4da6c,8,0.16666666666666666,0.0,0
